epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,843.281,0.83984,5.81494,0.79004,0.82833,1.41023,0.84421,0.824,0.8793,0.42194,0.43877,0.389,0.27082,0.06536,1.28208,6.76401,0.68867,1.05844,1.68928,0.00985827,0.0028565,0.0028565
28,871.535,0.83278,5.84234,0.79315,0.8082,1.39578,0.75443,0.74039,0.78931,0.36711,0.36213,0.3,0.18787,0.0446,1.28786,7.25187,0.69444,1.26936,1.69693,0.00984736,0.00295671,0.00295671
29,901.122,0.82884,5.81223,0.79123,0.79759,1.39584,0.83254,0.86,0.89425,0.45464,0.46091,0.441,0.28888,0.06865,1.20438,6.51274,0.68344,1.02418,1.58106,0.00983605,0.00305651,0.00305651
30,943.393,0.81682,5.72036,0.78731,0.78816,1.38521,0.79369,0.78479,0.81968,0.32748,0.43175,0.399,0.23992,0.05479,1.55073,6.64133,0.68265,1.31051,2.02098,0.00982434,0.00315591,0.00315591
31,973.184,0.83336,5.69023,0.78428,0.78683,1.38682,0.76613,0.806,0.82737,0.41909,0.45171,0.404,0.28347,0.0716,1.18576,6.73069,0.68636,1.1035,1.59788,0.00981222,0.0032549,0.0032549
32,1002.63,0.83112,5.6419,0.78784,0.79817,1.3923,0.81406,0.85813,0.88608,0.44631,0.45143,0.435,0.27828,0.06448,1.14869,6.53512,0.68147,1.10306,1.55773,0.0097997,0.00335349,0.00335349
33,1031.45,0.8238,5.77023,0.79027,0.80822,1.38698,0.76914,0.81624,0.82981,0.3915,0.40543,0.391,0.23953,0.05643,1.24661,6.68997,0.68149,1.20706,1.64134,0.00978677,0.00345167,0.00345167
34,1060.28,0.8175,5.68264,0.78288,0.77562,1.36941,0.75723,0.8,0.80474,0.34072,0.40061,0.38,0.22514,0.05351,1.49187,6.68264,0.67789,1.3483,1.95695,0.00977344,0.00354945,0.00354945
35,1088.89,0.83097,5.56571,0.78308,0.77967,1.38601,0.81632,0.84886,0.89206,0.44134,0.48092,0.453,0.30558,0.07592,1.19756,6.34807,0.67767,1.08802,1.59057,0.0097597,0.00364683,0.00364683
36,1128.88,0.81259,5.51197,0.78237,0.76421,1.37731,0.83289,0.84729,0.89289,0.42719,0.46374,0.447,0.29615,0.07363,1.31208,6.38392,0.67381,1.05213,1.67919,0.00974557,0.0037438,0.0037438
37,1157.33,0.82009,5.51122,0.7779,0.77434,1.37313,0.85375,0.85811,0.89806,0.41856,0.49213,0.453,0.30481,0.07875,1.27266,6.20796,0.6715,1.05107,1.62553,0.00973102,0.00384037,0.00384037
38,1185.49,0.79993,5.4317,0.77919,0.72785,1.35149,0.84957,0.892,0.91419,0.47913,0.51074,0.484,0.3285,0.08442,1.14286,6.11769,0.67408,0.94318,1.51962,0.00971608,0.00393654,0.00393654
39,1213.52,0.79962,5.43112,0.77647,0.75093,1.35566,0.83295,0.843,0.89266,0.47103,0.47089,0.451,0.31117,0.08431,1.16321,6.23998,0.67674,1.00359,1.53695,0.00970073,0.0040323,0.0040323
40,1242.03,0.79529,5.55874,0.78034,0.72479,1.34765,0.8289,0.8381,0.86784,0.3854,0.51319,0.471,0.31968,0.08364,1.42355,6.2249,0.67497,1.11551,1.78875,0.00968497,0.00412765,0.00412765
41,1270.64,0.80524,5.45095,0.77298,0.72935,1.35539,0.86108,0.89256,0.92647,0.51878,0.52955,0.51,0.36736,0.09369,1.02858,5.9344,0.67078,0.96592,1.39642,0.00966882,0.00422261,0.00422261
42,1312.44,0.8004,5.38321,0.77506,0.72416,1.34466,0.86187,0.88,0.91571,0.47301,0.53983,0.506,0.36417,0.09811,1.2057,5.85858,0.66758,1.00369,1.54815,0.00965225,0.00431716,0.00431716
43,1340.5,0.79623,5.34886,0.77377,0.7149,1.3426,0.87451,0.89201,0.9203,0.50272,0.54418,0.53961,0.36668,0.09751,1.04843,5.84329,0.66754,0.88114,1.39466,0.00963529,0.0044113,0.0044113
44,1369.21,0.79013,5.29702,0.77383,0.71752,1.33861,0.87478,0.90819,0.93418,0.51048,0.53927,0.482,0.33951,0.09485,1.05574,6.09391,0.66855,0.87539,1.38963,0.00961792,0.00450504,0.00450504
45,1397.98,0.79116,5.41028,0.78008,0.72047,1.33825,0.82879,0.84229,0.87147,0.39299,0.55793,0.534,0.37927,0.09856,1.39289,5.91666,0.66886,1.19799,1.76331,0.00960014,0.00459838,0.00459838
46,1426.45,0.78168,5.29563,0.77146,0.71472,1.32654,0.86033,0.882,0.92619,0.4903,0.53451,0.504,0.36858,0.09841,1.14714,6.07759,0.67444,0.95067,1.48973,0.00958196,0.00469131,0.00469131
47,1455.45,0.78695,5.2125,0.77012,0.69373,1.32112,0.87626,0.87811,0.90546,0.46755,0.5803,0.55307,0.41913,0.11232,1.18425,5.63248,0.66701,0.94921,1.49431,0.00956338,0.00478384,0.00478384
48,1496.32,0.77301,5.1973,0.7702,0.69022,1.31642,0.86069,0.88347,0.92657,0.50002,0.56401,0.507,0.37422,0.10634,1.13998,5.92346,0.66794,0.90586,1.47182,0.00954439,0.00487596,0.00487596
49,1524.3,0.76611,5.11713,0.76805,0.67981,1.3099,0.84943,0.88004,0.91924,0.48474,0.53741,0.537,0.40283,0.1114,1.17014,5.85293,0.67057,0.95574,1.49547,0.009525,0.00496768,0.00496768
50,1552.63,0.77647,5.17863,0.77011,0.69488,1.31641,0.90169,0.912,0.95293,0.53886,0.57857,0.548,0.41408,0.11938,1.07544,5.70283,0.66874,0.81864,1.39609,0.00950521,0.005059,0.005059
51,1580.43,0.7767,5.1688,0.77132,0.67206,1.31115,0.87033,0.87256,0.92812,0.52041,0.56342,0.542,0.40343,0.11694,1.07795,5.75759,0.66733,0.86701,1.41085,0.00948501,0.00514991,0.00514991
52,1608.9,0.7625,5.09682,0.76921,0.68051,1.30205,0.90036,0.86744,0.93071,0.49956,0.59811,0.552,0.42791,0.12503,1.17041,5.71681,0.66706,0.93154,1.4867,0.00946441,0.00524042,0.00524042
53,1637.24,0.77036,5.11818,0.76704,0.67068,1.30188,0.88936,0.9,0.94519,0.49397,0.59627,0.576,0.43147,0.12258,1.14389,5.59828,0.66163,0.85126,1.43165,0.0094434,0.00533052,0.00533052
54,1677.71,0.78312,5.11209,0.76695,0.68578,1.31224,0.89359,0.88179,0.93098,0.47363,0.61049,0.555,0.42946,0.12434,1.15413,5.62039,0.6652,0.92915,1.47297,0.00942199,0.00542022,0.00542022
55,1706.08,0.77012,5.08783,0.7634,0.66563,1.30567,0.90233,0.90539,0.94947,0.53832,0.63945,0.6,0.49058,0.14336,1.05675,5.47539,0.66464,0.82779,1.37537,0.00940017,0.00550952,0.00550952
56,1734.54,0.7825,5.05306,0.76252,0.68013,1.31472,0.89375,0.897,0.93792,0.46515,0.59853,0.59187,0.46272,0.13652,1.20444,5.52458,0.66283,0.92655,1.4918,0.00937795,0.00559841,0.00559841
57,1762.9,0.76168,5.04398,0.77137,0.67674,1.30291,0.88631,0.904,0.93532,0.52226,0.59335,0.565,0.42454,0.12658,1.05512,5.52031,0.66128,0.86684,1.38855,0.00935533,0.0056869,0.0056869
58,1790.9,0.76122,4.97947,0.76159,0.65637,1.29324,0.88489,0.923,0.95138,0.54412,0.63135,0.581,0.49378,0.15956,1.01374,5.4483,0.66229,0.77406,1.31014,0.0093323,0.00577498,0.00577498
59,1819.19,0.75724,4.91007,0.75964,0.64734,1.29365,0.90169,0.876,0.9353,0.46767,0.61203,0.571,0.45315,0.12734,1.24248,5.56974,0.65683,0.9656,1.56249,0.00930887,0.00586266,0.00586266
60,1860.94,0.75664,4.92018,0.75861,0.65741,1.28884,0.9066,0.90269,0.94988,0.52172,0.62669,0.604,0.50314,0.15452,1.07254,5.39292,0.65697,0.82039,1.36613,0.00928504,0.00594994,0.00594994
