epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3412,0.99907,10.1194,0.89225,0.89657,1.83478,0.79304,0.829,0.8644,0.42691,0.03904,0.017,0.0046,0.00057,1.23029,9.92404,0.75803,0.87174,2.20986,0.0982144,0.0001984,0.0001984
2,139.617,0.9444,8.32535,0.82402,0.75773,1.72525,0.73959,0.746,0.80007,0.40046,0.2142,0.138,0.06668,0.01285,1.24525,8.86303,0.73609,1.05773,2.22953,0.0964124,0.000396408,0.000396408
3,201.185,0.96215,7.89015,0.81209,0.83058,1.75619,0.59719,0.581,0.56685,0.23931,0.03215,0.043,0.00563,0.00088,1.44861,9.35059,0.72717,1.63715,2.81659,0.0946084,0.000592417,0.000592417
4,263.554,0.99148,7.81435,0.80509,0.88796,1.79691,0.53821,0.513,0.51028,0.1902,0.01548,0.012,0.00296,0.00052,1.62418,11.5174,0.73078,1.68994,3.16149,0.0928024,0.000786425,0.000786425
5,322.865,1.0129,7.88905,0.79821,0.95041,1.82124,0.60975,0.597,0.64018,0.2731,0.13793,0.115,0.04279,0.00831,1.45656,9.18714,0.72158,1.32902,2.49459,0.0909944,0.000978434,0.000978434
6,381.22,1.03398,7.98997,0.79685,0.96379,1.84433,0.65339,0.614,0.65385,0.2971,0.19332,0.166,0.07041,0.01542,1.33141,8.82529,0.72274,1.37328,2.43187,0.0891844,0.00116844,0.00116844
7,511.693,1.05566,8.07772,0.79474,1.04793,1.87643,0.67799,0.69,0.71202,0.31994,0.1533,0.098,0.03213,0.00618,1.28621,9.10829,0.72352,1.35944,2.32902,0.0873725,0.00135645,0.00135645
8,576.4,1.04539,7.87511,0.79513,0.99027,1.86159,0.52569,0.478,0.4579,0.17842,0.10077,0.075,0.02524,0.00531,1.6631,9.68708,0.72487,1.91716,3.10126,0.0855585,0.00154246,0.00154246
9,635.747,1.04378,7.81925,0.79312,1.01506,1.85814,0.70903,0.736,0.76921,0.3579,0.22847,0.194,0.1049,0.02168,1.18333,8.30768,0.714,1.33762,2.11205,0.0837425,0.00172647,0.00172647
10,693.993,1.01764,7.76242,0.79121,1.00545,1.84327,0.54144,0.616,0.59723,0.24776,0.11658,0.045,0.01813,0.00508,1.4045,10.8905,0.72188,1.43207,2.45682,0.0819245,0.00190848,0.00190848
11,821.539,1.02053,7.81608,0.79204,0.9962,1.83705,0.74163,0.73771,0.79387,0.38142,0.20174,0.15163,0.07239,0.01662,1.24377,8.5227,0.71028,1.17525,2.22216,0.0801045,0.00208849,0.00208849
12,892.72,1.01318,7.71483,0.78952,0.97729,1.82101,0.5179,0.533,0.51511,0.22651,0.18304,0.10508,0.05341,0.0119,1.40451,8.88318,0.72614,2.50401,2.54249,0.0782825,0.0022665,0.0022665
13,953.22,1.00782,7.55162,0.78821,0.96938,1.81428,0.67267,0.686,0.72516,0.33331,0.2428,0.145,0.08272,0.01833,1.32205,8.46919,0.71795,1.2754,2.37739,0.0764585,0.00244251,0.00244251
14,1014.11,0.99413,7.51145,0.79026,0.96671,1.79445,0.68738,0.691,0.71219,0.32727,0.26599,0.215,0.1221,0.02621,1.3142,8.26142,0.70992,1.30498,2.38913,0.0746325,0.00261652,0.00261652
15,1078.79,0.98432,7.35722,0.78626,0.94264,1.77815,0.68892,0.705,0.72492,0.35194,0.30855,0.222,0.141,0.03333,1.22553,7.89895,0.70597,1.27041,2.21362,0.0728045,0.00278853,0.00278853
16,1142.32,0.98739,7.43841,0.78887,0.94311,1.78554,0.71545,0.738,0.77573,0.38716,0.31502,0.215,0.14604,0.03181,1.24887,7.92317,0.71756,1.12551,2.27725,0.0709745,0.00295854,0.00295854
17,1204.06,0.97792,7.29525,0.78752,0.91555,1.77882,0.62785,0.61747,0.64905,0.29771,0.24359,0.137,0.07394,0.01526,1.32219,9.07227,0.72104,1.51462,2.29428,0.0691426,0.00312656,0.00312656
18,1266.92,0.98378,7.2827,0.78029,0.91194,1.76727,0.6504,0.57858,0.63394,0.2952,0.3075,0.158,0.10316,0.02395,1.38869,8.74799,0.70907,1.5002,2.35632,0.0673086,0.00329257,0.00329257
19,1329.14,0.96277,7.12465,0.7864,0.90265,1.74665,0.60713,0.556,0.58949,0.24596,0.33861,0.192,0.12833,0.03187,1.36596,8.14154,0.71131,1.52269,2.33782,0.0654726,0.00345658,0.00345658
20,1389.12,0.96825,7.15805,0.7816,0.90301,1.75619,0.7885,0.822,0.86542,0.47903,0.3252,0.282,0.18822,0.0472,1.09218,7.51022,0.70478,0.93484,1.97232,0.0636346,0.00361859,0.00361859
21,1455.08,0.9699,7.20259,0.78649,0.89882,1.75496,0.8271,0.844,0.88623,0.47927,0.45444,0.368,0.27974,0.07447,1.06194,6.89593,0.69497,0.92866,1.92937,0.0617946,0.0037786,0.0037786
22,1518.32,0.95052,7.04333,0.78164,0.86551,1.72717,0.79904,0.779,0.84671,0.44246,0.36955,0.322,0.23334,0.06448,1.12463,7.24434,0.69709,0.96038,1.9824,0.0599526,0.00393661,0.00393661
23,1581.24,0.94258,6.9688,0.77876,0.86051,1.72591,0.76136,0.839,0.86431,0.46752,0.33707,0.301,0.17826,0.04371,1.06222,7.3802,0.70352,1.00163,1.9454,0.0581086,0.00409263,0.00409263
24,1648.63,0.94,6.95641,0.78119,0.85349,1.72021,0.79609,0.81986,0.87118,0.48982,0.4073,0.29412,0.22541,0.05751,1.06075,7.16242,0.71154,0.9178,1.91962,0.0562626,0.00424664,0.00424664
25,1709.79,0.94091,6.8928,0.77915,0.84354,1.71484,0.78725,0.833,0.87011,0.46198,0.34415,0.317,0.20522,0.04856,1.12075,7.4004,0.70487,0.91468,2.01369,0.0544147,0.00439865,0.00439865
26,1770.34,0.94599,6.9225,0.77616,0.8683,1.71701,0.76516,0.707,0.78105,0.38755,0.41163,0.254,0.18332,0.04917,1.19505,7.61397,0.70218,1.13484,2.14048,0.0525647,0.00454866,0.00454866
27,1831.19,0.92761,6.75677,0.77798,0.83237,1.70009,0.85589,0.88496,0.9285,0.55286,0.4828,0.413,0.32852,0.09176,0.98613,6.54097,0.70576,0.76374,1.81892,0.0507127,0.00469668,0.00469668
28,1892.35,0.91568,6.73532,0.77381,0.82172,1.68485,0.78948,0.7088,0.79696,0.43625,0.40542,0.288,0.20522,0.05315,1.10338,7.3757,0.69543,1.04333,1.97976,0.0488587,0.00484269,0.00484269
29,1952.42,0.91979,6.67055,0.7722,0.8132,1.68766,0.85588,0.867,0.90943,0.53136,0.45601,0.405,0.30557,0.08183,1.00108,6.67676,0.69962,0.79449,1.85404,0.0470027,0.00498671,0.00498671
30,2015.55,0.90347,6.60376,0.77026,0.80067,1.66102,0.83937,0.86742,0.92039,0.52576,0.47098,0.36591,0.26084,0.06965,0.98786,6.94238,0.69376,0.82469,1.82314,0.0451447,0.00512872,0.00512872
31,2076.12,0.90598,6.62512,0.76931,0.80302,1.66343,0.85157,0.858,0.9216,0.55486,0.50943,0.45691,0.35171,0.09282,0.96385,6.37582,0.6912,0.77871,1.78853,0.0432847,0.00526873,0.00526873
32,2138.06,0.89786,6.50607,0.7694,0.79018,1.65817,0.81756,0.871,0.90291,0.53025,0.52525,0.425,0.33176,0.08887,0.97439,6.5456,0.6892,0.87854,1.78858,0.0414227,0.00540675,0.00540675
33,2203.8,0.89009,6.46003,0.76796,0.78091,1.65269,0.81774,0.857,0.89703,0.51239,0.47047,0.404,0.30941,0.08439,1.03813,6.55801,0.69147,0.86993,1.93663,0.0395588,0.00554276,0.00554276
34,2263.47,0.89263,6.41521,0.76503,0.77389,1.64888,0.88827,0.92,0.95406,0.59362,0.54103,0.51749,0.42371,0.12877,0.90982,5.9864,0.68243,0.70481,1.69347,0.0376928,0.00567678,0.00567678
35,2324.53,0.87836,6.3563,0.76356,0.75094,1.63208,0.81597,0.85576,0.89325,0.54503,0.53165,0.425,0.33743,0.09547,0.94749,6.49016,0.68791,0.82416,1.76377,0.0358248,0.00580879,0.00580879
36,2387.97,0.87659,6.31484,0.76934,0.7543,1.62612,0.86617,0.894,0.94159,0.58511,0.51583,0.485,0.36701,0.10808,0.91153,6.05225,0.68382,0.71148,1.72715,0.0339548,0.00593881,0.00593881
37,2448.69,0.87738,6.28748,0.76136,0.74942,1.62906,0.89366,0.92444,0.95477,0.602,0.58825,0.52861,0.42638,0.12133,0.87373,5.83869,0.68073,0.69915,1.65396,0.0320828,0.00606682,0.00606682
38,2509.25,0.87103,6.14565,0.7631,0.73882,1.61433,0.90772,0.902,0.95399,0.59721,0.58043,0.508,0.45401,0.13774,0.88081,5.66099,0.67861,0.67233,1.67874,0.0302088,0.00619284,0.00619284
39,2573.03,0.86878,6.16897,0.76124,0.73497,1.60814,0.9192,0.89872,0.96085,0.61454,0.60067,0.557,0.47631,0.14418,0.86519,5.58527,0.67699,0.65071,1.63347,0.0283329,0.00631685,0.00631685
