epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1386.28,0.98352,7.337,0.78018,0.90451,1.76779,0.86085,0.854,0.92223,0.53883,0.43025,0.394,0.24683,0.06295,0.96887,6.80768,0.69527,0.86511,1.78494,0.00740026,0.00740026,0.00740026
28,1436.24,0.97354,7.24891,0.77657,0.89806,1.74885,0.87691,0.861,0.92843,0.54825,0.44389,0.401,0.28145,0.07201,0.97285,6.73532,0.69712,0.83608,1.77978,0.00730027,0.00730027,0.00730027
29,1485.81,0.97311,7.2098,0.77607,0.88973,1.74274,0.85475,0.873,0.92449,0.55355,0.41697,0.41,0.27374,0.07184,0.96348,6.72149,0.69887,0.80972,1.76948,0.00720028,0.00720028,0.00720028
30,1536.06,0.93936,7.09233,0.77327,0.85002,1.70235,0.87276,0.9,0.9404,0.56908,0.44042,0.41,0.28749,0.07949,0.92842,6.60797,0.6981,0.8078,1.72927,0.00710029,0.00710029,0.00710029
31,1585.79,0.94575,7.08095,0.77276,0.85395,1.70624,0.88868,0.903,0.94803,0.5772,0.48264,0.437,0.31165,0.08376,0.93317,6.50641,0.69433,0.75785,1.72392,0.0070003,0.0070003,0.0070003
32,1636.2,0.94315,7.04484,0.77539,0.84266,1.69871,0.88412,0.92316,0.95074,0.57516,0.47855,0.453,0.32051,0.08687,0.91361,6.47309,0.69281,0.75577,1.72011,0.00690031,0.00690031,0.00690031
33,1686.07,0.93737,6.99921,0.77346,0.85358,1.70372,0.90591,0.90501,0.95429,0.5914,0.50078,0.459,0.32142,0.08707,0.90737,6.36958,0.69181,0.74854,1.70226,0.00680032,0.00680032,0.00680032
34,1736.22,0.9314,6.90837,0.76951,0.82065,1.68628,0.87427,0.90399,0.94915,0.58161,0.48366,0.45524,0.32348,0.09136,0.90409,6.33765,0.69268,0.76418,1.68986,0.00670033,0.00670033,0.00670033
35,1786.43,0.9169,6.84484,0.76771,0.80737,1.66797,0.9041,0.904,0.95317,0.58111,0.49585,0.476,0.33497,0.09115,0.92497,6.27879,0.69347,0.75033,1.7146,0.00660034,0.00660034,0.00660034
36,1836.45,0.92193,6.80764,0.76711,0.80948,1.67371,0.89285,0.909,0.95973,0.59247,0.53328,0.462,0.36158,0.10224,0.90372,6.28122,0.69162,0.73486,1.68558,0.00650035,0.00650035,0.00650035
37,1886.54,0.91634,6.78639,0.76868,0.80592,1.66655,0.88596,0.934,0.95708,0.58616,0.515,0.491,0.35855,0.09739,0.91439,6.16328,0.68874,0.73829,1.69931,0.00640036,0.00640036,0.00640036
38,1936.42,0.90987,6.73733,0.76472,0.78618,1.65666,0.89965,0.913,0.95918,0.5988,0.52702,0.486,0.36771,0.10612,0.89865,6.15718,0.69321,0.72571,1.67724,0.00630037,0.00630037,0.00630037
39,1986.62,0.90026,6.6582,0.76431,0.77411,1.64287,0.91359,0.94092,0.96708,0.60884,0.50623,0.51,0.36577,0.10353,0.88198,6.08368,0.68653,0.68121,1.66094,0.00620038,0.00620038,0.00620038
40,2036.76,0.89574,6.6265,0.76362,0.76122,1.64025,0.90743,0.931,0.9636,0.61173,0.53296,0.489,0.3677,0.10593,0.86848,6.0781,0.68574,0.70166,1.63575,0.00610039,0.00610039,0.00610039
41,2086.58,0.88946,6.57627,0.76182,0.75149,1.62924,0.92113,0.917,0.96816,0.61754,0.54278,0.50334,0.39144,0.11354,0.8657,5.98857,0.68269,0.68117,1.62884,0.0060004,0.0060004,0.0060004
