epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8817,1.00025,10.3264,0.89283,0.89154,1.83529,0.58409,0.591,0.59767,0.21061,0.00265,0.004,0.00037,6e-05,2.05089,10.7508,0.75576,1.5709,3.65457,0.099008,0.000110222,0.000110222
2,138.704,0.91409,8.44946,0.82946,0.71869,1.68582,0.83787,0.878,0.90255,0.47974,0.10658,0.094,0.03148,0.00497,1.15087,8.75963,0.74112,0.91706,2.03615,0.0980074,0.00022078,0.00022078
3,200.555,0.89918,7.72421,0.82026,0.72738,1.67327,0.62731,0.65,0.66914,0.3021,0.21956,0.129,0.05907,0.01372,1.33326,9.43107,0.73733,1.45041,2.35574,0.0970063,0.000330782,0.000330782
4,277.984,0.91973,7.4105,0.80899,0.77337,1.69528,0.69616,0.682,0.70337,0.28952,0.09352,0.068,0.01478,0.00259,1.38163,9.89429,0.73091,1.4661,2.58637,0.0960047,0.000440229,0.000440229
5,335.023,0.94152,7.38271,0.80106,0.8127,1.72945,0.56234,0.51524,0.54566,0.2145,0.1428,0.05,0.02212,0.00326,1.55257,10.3165,0.71935,1.71707,2.73802,0.0950025,0.000549121,0.000549121
6,391.496,0.94969,7.28977,0.79757,0.83414,1.73439,0.51675,0.528,0.51428,0.19687,0.18074,0.128,0.05643,0.00991,1.48617,8.76384,0.71743,1.59367,2.40484,0.0939997,0.000657456,0.000657456
7,507.377,0.96375,7.34643,0.79349,0.82829,1.74548,0.67643,0.684,0.72158,0.35884,0.22296,0.164,0.07612,0.01442,1.21755,8.49641,0.71578,1.17655,2.13892,0.0929963,0.000765237,0.000765237
8,575.675,0.96457,7.2987,0.79339,0.84699,1.75147,0.64148,0.6,0.66512,0.28835,0.282,0.144,0.08653,0.01545,1.32999,8.81844,0.71943,1.37685,2.24645,0.0919925,0.000872462,0.000872462
9,631.834,0.97338,7.38497,0.79126,0.88817,1.7653,0.64921,0.686,0.69973,0.32888,0.27473,0.163,0.10379,0.02163,1.30214,8.28454,0.71933,1.36593,2.46114,0.090988,0.000979131,0.000979131
10,691.572,0.98194,7.35773,0.78708,0.89751,1.7777,0.6931,0.69334,0.73621,0.34151,0.19812,0.133,0.06262,0.01181,1.20986,8.71778,0.72941,1.55894,2.15774,0.089983,0.00108524,0.00108524
11,802.017,0.97974,7.3717,0.78923,0.89715,1.77416,0.65057,0.60881,0.66667,0.29976,0.2493,0.13,0.06553,0.01173,1.34909,8.88445,0.72995,1.38129,2.46096,0.0889775,0.0011908,0.0011908
12,861.899,0.96219,7.20253,0.78657,0.86992,1.74669,0.62475,0.62765,0.64257,0.28782,0.25301,0.179,0.1056,0.02248,1.37505,8.35375,0.71807,1.29366,2.50572,0.0879714,0.00129581,0.00129581
13,917.977,0.96389,7.1857,0.78905,0.86685,1.75451,0.76626,0.787,0.83615,0.43976,0.2579,0.226,0.10982,0.02222,1.13066,7.71267,0.72666,1.00308,1.99207,0.0869647,0.00140025,0.00140025
14,974.86,0.94828,7.10951,0.78824,0.85964,1.73234,0.59632,0.64849,0.67122,0.30319,0.14265,0.106,0.03749,0.0075,1.29222,9.77611,0.71767,1.33176,2.21311,0.0859575,0.00150415,0.00150415
15,1087.97,0.94994,7.11378,0.78286,0.8605,1.7355,0.74923,0.742,0.79811,0.40925,0.28496,0.184,0.11214,0.02346,1.18137,8.25236,0.71449,1.06348,2.13195,0.0849497,0.00160748,0.00160748
16,1147.83,0.94251,7.09322,0.78737,0.85896,1.72704,0.61092,0.507,0.54632,0.20478,0.21787,0.123,0.06069,0.01316,1.65614,9.26779,0.73097,1.62853,2.97942,0.0839414,0.00171026,0.00171026
17,1204.14,0.93636,6.99198,0.78482,0.83677,1.72183,0.80828,0.80946,0.85924,0.44631,0.41579,0.329,0.2309,0.05492,1.10881,7.13222,0.71313,0.95072,1.97993,0.0829325,0.00181249,0.00181249
18,1260.16,0.9415,7.02754,0.78001,0.85494,1.71143,0.71198,0.757,0.78649,0.39273,0.30674,0.23849,0.14862,0.03044,1.22598,8.04821,0.71409,1.02825,2.20787,0.081923,0.00191416,0.00191416
19,1372.36,0.94464,7.01271,0.78598,0.85003,1.72046,0.73547,0.76178,0.81533,0.40131,0.31949,0.25024,0.15545,0.03388,1.17626,7.91208,0.7137,1.02253,2.05189,0.080913,0.00201527,0.00201527
20,1432.68,0.9311,6.97525,0.78163,0.82965,1.70475,0.7632,0.75,0.80098,0.41994,0.23888,0.191,0.09706,0.02098,1.12988,8.23964,0.72494,1.21354,2.04264,0.0799025,0.00211583,0.00211583
21,1489.19,0.93083,6.88978,0.78641,0.84521,1.70823,0.68715,0.75,0.77457,0.39153,0.20322,0.156,0.08373,0.02068,1.16885,8.84041,0.71225,1.08208,2.05313,0.0788914,0.00221583,0.00221583
22,1546.16,0.92051,6.80536,0.7813,0.82891,1.68801,0.69073,0.606,0.66219,0.28797,0.32959,0.18141,0.13161,0.03506,1.4281,8.27778,0.71912,1.40396,2.4526,0.0778797,0.00231528,0.00231528
23,1657.93,0.91329,6.77904,0.78011,0.82688,1.68741,0.78708,0.766,0.84185,0.45102,0.36838,0.301,0.19558,0.04848,1.07136,7.35216,0.718,0.97268,1.95609,0.0768675,0.00241417,0.00241417
24,1720.93,0.91367,6.69931,0.78286,0.80728,1.69359,0.75938,0.71007,0.79204,0.40838,0.37542,0.268,0.19326,0.04209,1.21926,7.52332,0.71591,1.07986,2.26581,0.0758547,0.00251251,0.00251251
25,1777.91,0.921,6.70036,0.78149,0.82936,1.69077,0.81432,0.872,0.90032,0.50479,0.43361,0.34603,0.25647,0.06132,1.0179,6.99898,0.70384,0.87237,1.86945,0.0748414,0.00261029,0.00261029
26,1835.59,0.91728,6.64889,0.77695,0.8156,1.67571,0.81738,0.861,0.89854,0.52325,0.42952,0.371,0.25959,0.07196,0.96642,6.90798,0.70843,0.86847,1.79014,0.0738275,0.00270752,0.00270752
